school_type, state, total_enrolments, school_sector, girls_enrolments, icsea, teaching_staff, full_time_equivalent_enrolments, language_background_other_than_english, boys_enrolments, year_range, geolocation, suburb, ogc_fid, abs_remoteness_area, calendar_year, longitude, latitude
"Primary","NSW",323,"Government",165,1027,16,323.0,45,158,"K-6","Major Cities","Revesby",75513,"Major Cities of Australia","2016",151.0172147,-33.96054371
"Primary","NSW",559,"Government",283,981,26,559.0,88,276,"K-6","Major Cities","Birrong",75514,"Major Cities of Australia","2016",151.02007,-33.895596
"Primary","NSW",619,"Government",312,1016,27,619.0,52,307,"K-6","Major Cities","Leumeah",75515,"Major Cities of Australia","2016",150.840373,-34.049425
"Primary","NSW",274,"Government",121,946,17,274.0,91,153,"K-6","Major Cities","Bankstown",75516,"Major Cities of Australia","2016",151.012095,-33.914921
"Primary","NSW",906,"Government",464,1008,40,906.0,66,442,"K-6","Major Cities","Macquarie Fields",75517,"Major Cities of Australia","2016",150.882486,-33.995325
"Primary","NSW",274,"Government",128,917,19,274.0,89,146,"K-6","Major Cities","Fairfield East",75518,"Major Cities of Australia","2016",150.972454,-33.877111
"Primary","NSW",340,"Government",155,1049,16,340.0,64,185,"U, K-6","Major Cities","Padstow",75519,"Major Cities of Australia","2016",151.031421,-33.945302
"Primary","NSW",175,"Government",85,926,14,175.0,77,90,"K-6","Major Cities","Riverwood",75520,"Major Cities of Australia","2016",151.057599,-33.945271
"Primary","NSW",330,"Government",159,930,21,330.0,37,171,"U, K-6","Major Cities","Campbelltown",75521,"Major Cities of Australia","2016",150.826589,-34.061201
"Primary","NSW",296,"Government",152,988,14,296.0,96,144,"K-6","Major Cities","Bankstown",75522,"Major Cities of Australia","2016",151.0195444,-33.91577255
"Primary","NSW",189,"Government",93,1009,10,189.0,56,96,"K-6","Major Cities","Panania",75523,"Major Cities of Australia","2016",151.007373,-33.956383
"Primary","NSW",624,"Government",296,905,37,624.0,87,328,"U, P-6","Major Cities","Liverpool",75524,"Major Cities of Australia","2016",150.907691,-33.927101
"Primary","NSW",849,"Government",420,986,42,849.0,84,429,"K-6","Major Cities","Casula",75525,"Major Cities of Australia","2016",150.9092,-33.944218
"Primary","NSW",247,"Government",129,916,15,247.0,66,118,"K-6","Major Cities","Mount Pritchard",75526,"Major Cities of Australia","2016",150.912044,-33.905097
"Primary","NSW",482,"Government",203,951,27,482.0,94,279,"K-6","Major Cities","Greenacre",75527,"Major Cities of Australia","2016",151.05011,-33.906898
"Primary","NSW",297,"Government",151,936,23,297.0,31,146,"U, K-6","Major Cities","Campbelltown",75528,"Major Cities of Australia","2016",150.831753,-34.072299
"Primary","NSW",671,"Government",351,963,36,671.0,87,320,"K-6","Major Cities","Liverpool",75529,"Major Cities of Australia","2016",150.912841,-33.916491
"Primary","NSW",815,"Government",393,1038,37,815.0,11,422,"U, K-6","Major Cities","Camden",75530,"Major Cities of Australia","2016",150.69563,-34.069741
"Primary","NSW",690,"Government",354,1079,32,690.0,63,336,"K-6","Major Cities","Holsworthy",75531,"Major Cities of Australia","2016",150.953581,-33.957072
"Primary","NSW",432,"Government",205,900,28,432.0,73,227,"U, P-6","Major Cities","Lurnea",75532,"Major Cities of Australia","2016",150.891925,-33.932082
"Primary","NSW",253,"Government",121,1014,10,253.0,53,132,"K-6","Major Cities","Bardia",75533,"Major Cities of Australia","2016",150.857923,-33.97528
"Primary","NSW",407,"Government",182,1001,19,407.0,55,225,"K-6","Major Cities","Greystanes",75534,"Major Cities of Australia","2016",150.9590261,-33.82002221
"Primary","NSW",971,"Government",424,983,58,971.0,93,547,"U, P-6","Major Cities","Cabramatta",75535,"Major Cities of Australia","2016",150.90941,-33.891341
"Primary","NSW",306,"Government",141,911,20,306.0,75,165,"U, P-6","Major Cities","Sadleir",75536,"Major Cities of Australia","2016",150.891029,-33.915843
"Primary","NSW",316,"Government",162,1007,15,316.0,60,154,"K-6","Major Cities","Merrylands",75537,"Major Cities of Australia","2016",150.960103,-33.836784
"Primary","NSW",213,"Government",107,860,13,213.0,65,106,"K-6","Major Cities","Heckenberg",75538,"Major Cities of Australia","2016",150.890543,-33.908784
"Primary","NSW",247,"Government",125,877,18,247.0,63,122,"K-6","Major Cities","Busby",75539,"Major Cities of Australia","2016",150.881313,-33.911561
"Primary","NSW",205,"Government",87,897,14,205.0,57,118,"U, K-6","Major Cities","Miller",75540,"Major Cities of Australia","2016",150.876881,-33.921454
"Primary","NSW",398,"Government",190,1106,19,398.0,49,208,"K-6","Major Cities","Picnic Point",75541,"Major Cities of Australia","2016",151.010243,-33.969119
"Primary","NSW",273,"Government",120,886,17,273.0,64,153,"P-6","Major Cities","Ashcroft",75542,"Major Cities of Australia","2016",150.89839,-33.916395
"Primary","NSW",326,"Government",165,929,19,326.0,69,161,"K-6","Major Cities","Wetherill Park",75543,"Major Cities of Australia","2016",150.91788,-33.857608
"Primary","NSW",170,"Government",82,920,10,170.0,68,88,"K-6","Major Cities","Cartwright",75544,"Major Cities of Australia","2016",150.890943,-33.925284
"Primary","NSW",125,"Government",67,916,8,125.0,86,58,"K-6","Major Cities","Cabramatta",75545,"Major Cities of Australia","2016",150.964109,-33.897993
"Primary","NSW",399,"Government",172,903,29,399.0,65,227,"U, P-6","Major Cities","Green Valley",75546,"Major Cities of Australia","2016",150.87445,-33.906099
"Primary","NSW",592,"Government",294,973,34,592.0,28,298,"U, K-6","Major Cities","Bradbury",75547,"Major Cities of Australia","2016",150.8136795,-34.08626695
"Primary","NSW",354,"Government",171,982,21,354.0,66,183,"U, K-6","Major Cities","Moorebank",75548,"Major Cities of Australia","2016",150.951499,-33.933241
"Primary","NSW",280,"Government",138,836,16,280.0,25,142,"U, P-6","Major Cities","Campbelltown",75549,"Major Cities of Australia","2016",150.827673,-34.089103
"Primary","NSW",261,"Government",125,852,20,261.0,43,136,"U, K-6","Major Cities","Macquarie Fields",75550,"Major Cities of Australia","2016",150.8985601,-33.99330467
"Primary","NSW",156,"Government",73,871,12,156.0,36,83,"U, K-6","Major Cities","Macquarie Fields",75551,"Major Cities of Australia","2016",150.8957356,-33.98741644
"Primary","NSW",450,"Government",207,1028,21,450.0,5,243,"K-6","Major Cities","Camden",75552,"Major Cities of Australia","2016",150.7122,-34.061245
"Primary","NSW",484,"Government",230,986,22,484.0,81,254,"K-6","Major Cities","St Johns Park",75553,"Major Cities of Australia","2016",150.910701,-33.879147
"Primary","NSW",243,"Government",104,1030,10,243.0,39,139,"K-6","Major Cities","Greystanes",75554,"Major Cities of Australia","2016",150.939897,-33.834174
"Primary","NSW",202,"Government",97,818,22,202.0,26,105,"U, P-6","Major Cities","Airds",75555,"Major Cities of Australia","2016",150.834434,-34.082225
"Primary","NSW",780,"Government",382,992,38,780.0,47,398,"U, K-6","Major Cities","St Andrews",75556,"Major Cities of Australia","2016",150.831362,-34.022532
"Primary","NSW",416,"Government",199,955,20,416.0,21,217,"K-6","Major Cities","Ruse",75557,"Major Cities of Australia","2016",150.841573,-34.066949
"Primary","NSW",209,"Government",95,917,12,209.0,50,114,"U, K-6","Major Cities","Minto",75558,"Major Cities of Australia","2016",150.847422,-34.037684
"Primary","NSW",522,"Government",264,969,28,522.0,46,258,"K-6","Major Cities","Ingleburn",75559,"Major Cities of Australia","2016",150.863607,-34.011068
"Primary","NSW",253,"Government",124,935,13,253.0,25,129,"K-6","Major Cities","Campbelltown",75560,"Major Cities of Australia","2016",150.815078,-34.097072
"Primary","NSW",718,"Government",326,993,48,718.0,99,392,"U, K-6","Major Cities","Lakemba",75561,"Major Cities of Australia","2016",151.074029,-33.914957
"Primary","NSW",627,"Government",313,1068,30,627.0,73,314,"K-6","Major Cities","Moorebank",75562,"Major Cities of Australia","2016",150.952069,-33.926068
"Primary","NSW",287,"Government",126,934,16,287.0,37,161,"U, K-6","Major Cities","Ambarvale",75563,"Major Cities of Australia","2016",150.798192,-34.086423
"Primary","NSW",411,"Government",179,962,24,411.0,68,232,"U, P-6","Major Cities","Minto",75564,"Major Cities of Australia","2016",150.85091,-34.02765
"Primary","NSW",301,"Government",143,888,23,301.0,57,158,"U, P-6","Major Cities","Claymore",75565,"Major Cities of Australia","2016",150.809517,-34.043125
"Primary","NSW",251,"Government",120,951,13,251.0,56,131,"K-6","Major Cities","Minto",75566,"Major Cities of Australia","2016",150.857358,-34.022051
"Primary","NSW",287,"Government",134,987,15,287.0,53,153,"K-6","Major Cities","Glenfield",75567,"Major Cities of Australia","2016",150.903028,-33.974542
"Primary","NSW",524,"Government",252,912,24,524.0,45,272,"K-6","Major Cities","Blairmount",75568,"Major Cities of Australia","2016",150.802444,-34.048007
"Primary","NSW",699,"Government",360,931,36,699.0,42,339,"U, K-6","Major Cities","Rosemeadow",75569,"Major Cities of Australia","2016",150.794537,-34.104647
"Primary","NSW",522,"Government",260,938,28,522.0,27,262,"U, K-6","Major Cities","Ambarvale",75570,"Major Cities of Australia","2016",150.789247,-34.093621
"Primary","NSW",241,"Government",123,906,27,241.0,83,118,"P-6","Major Cities","Bonnyrigg",75571,"Major Cities of Australia","2016",150.888962,-33.887728
"Primary","NSW",567,"Government",260,965,41,567.0,100,307,"U, K-6","Major Cities","Wiley Park",75572,"Major Cities of Australia","2016",151.0683328,-33.9247694
"Primary","NSW",463,"Government",221,921,28,463.0,90,242,"U, K-6","Major Cities","Bossley Park",75573,"Major Cities of Australia","2016",150.890898,-33.866464
"Primary","NSW",331,"Government",178,963,17,331.0,32,153,"K-6","Major Cities","Eschol Park",75574,"Major Cities of Australia","2016",150.810838,-34.02834
"Primary","NSW",541,"Government",246,994,32,541.0,82,295,"U, K-6","Major Cities","Wetherill Park",75575,"Major Cities of Australia","2016",150.905782,-33.854623
"Primary","NSW",562,"Government",268,977,37,562.0,89,294,"K-6","Major Cities","Edensor Park",75576,"Major Cities of Australia","2016",150.87891,-33.872955
"Primary","NSW",554,"Government",264,980,28,554.0,36,290,"K-6","Major Cities","Raby",75577,"Major Cities of Australia","2016",150.818892,-34.016173
"Primary","NSW",283,"Government",133,967,19,283.0,84,150,"K-6","Major Cities","Edensor Park",75578,"Major Cities of Australia","2016",150.876121,-33.882056
"Primary","NSW",191,"Government",93,972,10,191.0,32,98,"K-6","Major Cities","Kearns",75579,"Major Cities of Australia","2016",150.804446,-34.021486
"Primary","NSW",1114,"Government",527,995,59,1114.0,89,587,"U, K-6","Major Cities","Bonnyrigg Heights",75580,"Major Cities of Australia","2016",150.867681,-33.88935
"Primary","NSW",668,"Government",338,1016,32,668.0,28,330,"U, K-6","Major Cities","Mount Annan",75581,"Major Cities of Australia","2016",150.7613263,-34.06114172
"Primary","NSW",478,"Government",232,969,24,478.0,22,246,"U, K-6","Major Cities","St Helens Park",75582,"Major Cities of Australia","2016",150.804035,-34.110232
"Primary","NSW",570,"Government",307,969,29,570.0,80,263,"K-6","Major Cities","Hinchinbrook",75583,"Major Cities of Australia","2016",150.85892,-33.912986
"Primary","NSW",841,"Government",416,1001,39,841.0,17,425,"K-6","Major Cities","Narellan Vale",75584,"Major Cities of Australia","2016",150.744718,-34.056129
"Primary","NSW",816,"Government",386,1014,37,816.0,67,430,"K-6","Major Cities","Carnes Hill",75585,"Major Cities of Australia","2016",150.8378691,-33.9380225
"Primary","NSW",580,"Government",286,980,31,580.0,22,294,"U, K-6","Major Cities","Currans Hill",75586,"Major Cities of Australia","2016",150.769197,-34.04785
"Primary","NSW",889,"Government",421,1115,41,889.0,75,468,"K-6","Major Cities","Newington",75587,"Major Cities of Australia","2016",151.054865,-33.839208
"Primary","NSW",759,"Government",367,1032,34,759.0,24,392,"K-6","Major Cities","Harrington Park",75588,"Major Cities of Australia","2016",150.738527,-34.027145
"Special","NSW",26,"Government",9,null,5,26.0,0,17,"U","Inner Regional","Tumut",76728,"Inner Regional Australia","2016",148.232519,-35.316654
"Primary","NSW",1015,"Government",469,1011,49,1015.0,70,546,"U, K-6","Major Cities","Prestons",75589,"Major Cities of Australia","2016",150.871393,-33.947297
"Primary","NSW",744,"Government",373,1016,35,744.0,77,371,"U, K-6","Major Cities","Cecil Hills",75590,"Major Cities of Australia","2016",150.851348,-33.889733
"Primary","NSW",450,"Government",227,1017,24,450.0,13,223,"U, K-6","Major Cities","Elderslie",75591,"Major Cities of Australia","2016",150.721773,-34.054473
"Primary","NSW",325,"Government",156,997,17,325.0,67,169,"U, K-6","Major Cities","Middleton Grange",75592,"Major Cities of Australia","2016",150.848199,-33.917335
"Primary","NSW",563,"Government",271,1037,37,563.0,93,292,"K-6","Major Cities","Campsie",75593,"Major Cities of Australia","2016",151.095803,-33.90897
"Primary","NSW",360,"Government",176,958,21,360.0,88,184,"K-6","Major Cities","Merrylands",75594,"Major Cities of Australia","2016",150.988301,-33.842281
"Primary","NSW",664,"Government",304,943,39,664.0,94,360,"P-6","Major Cities","Canley Vale",75595,"Major Cities of Australia","2016",150.953555,-33.890977
"Primary","NSW",357,"Government",171,943,23,357.0,96,186,"K-6","Major Cities","Granville",75596,"Major Cities of Australia","2016",151.009981,-33.84827
"Primary","NSW",514,"Government",249,1059,27,514.0,94,265,"K-6","Major Cities","Homebush West",75597,"Major Cities of Australia","2016",151.06671,-33.866461
"Special","NSW",50,"Government",8,null,13,50.0,24,42,"U","Major Cities","Glenfield",75598,"Major Cities of Australia","2016",150.878601,-33.967931
"Special","NSW",56,"Government",13,null,10,56.0,34,43,"U","Major Cities","Campbelltown",75599,"Major Cities of Australia","2016",150.824219,-34.062208
"Special","NSW",95,"Government",32,null,16,95.0,72,63,"U","Major Cities","Revesby",75600,"Major Cities of Australia","2016",151.015897,-33.942493
"Special","NSW",69,"Government",19,null,12,69.0,43,50,"U","Major Cities","Minto",75601,"Major Cities of Australia","2016",150.852353,-34.027163
"Special","NSW",48,"Government",19,null,9,48.0,79,29,"U","Major Cities","Campsie",75602,"Major Cities of Australia","2016",151.095881,-33.908248
"Special","NSW",17,"Government",0,null,4,17.0,0,17,"U","Major Cities","Regents Park",75603,"Major Cities of Australia","2016",151.023804,-33.88501
"Special","NSW",111,"Government",26,null,20,111.0,69,85,"U","Major Cities","Liverpool",75604,"Major Cities of Australia","2016",150.907516,-33.925783
"Special","NSW",56,"Government",6,null,17,56.0,26,50,"U","Major Cities","Warwick Farm",75605,"Major Cities of Australia","2016",150.935355,-33.908215
"Special","NSW",188,"Government",54,null,35,188.0,88,134,"U","Major Cities","Merrylands",75606,"Major Cities of Australia","2016",150.981664,-33.828906
"Special","NSW",106,"Government",30,null,19,106.0,80,76,"U","Major Cities","Padstow",75607,"Major Cities of Australia","2016",151.02521,-33.936108
"Special","NSW",59,"Government",32,null,18,59.0,16,27,"U","Major Cities","Concord West",75608,"Major Cities of Australia","2016",151.09845,-33.832948
"Special","NSW",76,"Government",28,null,13,76.0,77,48,"U","Major Cities","Mount Pritchard",75609,"Major Cities of Australia","2016",150.91237,-33.90434
"Special","NSW",24,"Government",10,null,9,24.0,67,14,"U","Major Cities","Lakemba",75610,"Major Cities of Australia","2016",151.075119,-33.91677737
"Special","NSW",86,"Government",19,null,14,86.0,37,67,"U","Major Cities","Rosemeadow",75611,"Major Cities of Australia","2016",150.792742,-34.09782
"Special","NSW",49,"Government",17,null,11,49.0,12,32,"U","Major Cities","Glenfield",75612,"Major Cities of Australia","2016",150.882009,-33.968196
"Special","NSW",40,"Government",10,null,7,40.0,22,30,"U","Major Cities","Glenfield",75613,"Major Cities of Australia","2016",150.878033,-33.969521
"Special","NSW",63,"Government",20,null,16,63.0,4,43,"U","Major Cities","Campbelltown",75614,"Major Cities of Australia","2016",150.824344,-34.06173
"Special","NSW",21,"Government",6,null,4,21.0,0,15,"U","Major Cities","Lakemba",75615,"Major Cities of Australia","2016",151.074514,-33.915685
"Primary","NSW",571,"Government",264,926,41,571.0,97,307,"U, K-6","Major Cities","Auburn",75616,"Major Cities of Australia","2016",151.032953,-33.854
"Primary","NSW",896,"Government",422,951,55,896.0,97,474,"U, K-6","Major Cities","Bankstown",75617,"Major Cities of Australia","2016",151.034168,-33.921122
"Primary","NSW",710,"Government",333,961,43,710.0,93,377,"K-6","Major Cities","Liverpool",75618,"Major Cities of Australia","2016",150.925924,-33.923572
"Secondary","NSW",942,"Government",436,1118,64,942.0,83,506,"7-Dec","Major Cities","Glenfield",75619,"Major Cities of Australia","2016",150.893629,-33.970383
"Secondary","NSW",1138,"Government",0,1048,79,1137.6,86,1138,"7-Dec","Major Cities","Homebush",75620,"Major Cities of Australia","2016",151.078255,-33.865698
"Secondary","NSW",1150,"Government",1150,1058,75,1149.2,93,0,"7-Dec","Major Cities","Strathfield",75621,"Major Cities of Australia","2016",151.084571,-33.873901
"Secondary","NSW",986,"Government",986,931,72,986.0,88,0,"7-Dec","Major Cities","Liverpool",75622,"Major Cities of Australia","2016",150.931475,-33.917986
"Secondary","NSW",1107,"Government",653,953,72,1106.0,35,454,"7-Dec","Major Cities","Campbelltown",75623,"Major Cities of Australia","2016",150.822959,-34.060108
"Secondary","NSW",490,"Government",0,909,38,490.0,98,490,"7-Dec","Major Cities","Punchbowl",75624,"Major Cities of Australia","2016",151.052954,-33.924027
"Secondary","NSW",598,"Government",0,929,43,598.0,92,598,"7-Dec","Major Cities","Liverpool",75625,"Major Cities of Australia","2016",150.93154,-33.917157
"Secondary","NSW",1050,"Government",1050,1014,64,1049.4,68,0,"7-Dec","Major Cities","Panania",75626,"Major Cities of Australia","2016",150.992016,-33.956866
"Secondary","NSW",818,"Government",0,990,56,818.0,81,818,"U, 7-12","Major Cities","Panania",75627,"Major Cities of Australia","2016",150.994115,-33.957229
"Secondary","NSW",1397,"Government",665,917,99,1394.8,96,732,"U, 7-12","Major Cities","Cabramatta",75628,"Major Cities of Australia","2016",150.928913,-33.901422
"Secondary","NSW",366,"Government",0,910,32,366.0,96,366,"7-Dec","Major Cities","Birrong",75629,"Major Cities of Australia","2016",151.025024,-33.894047
"Secondary","NSW",1133,"Government",520,948,79,1132.4,6,613,"U, 7-12","Inner Regional","Picton",75630,"Inner Regional Australia","2016",150.608418,-34.194467
"Secondary","NSW",1054,"Government",530,983,72,1053.6,9,524,"U, 7-12","Major Cities","Camden",75631,"Major Cities of Australia","2016",150.6785,-34.0768
"Secondary","NSW",709,"Government",293,908,57,709.0,77,416,"U, 7-12","Major Cities","Bass Hill",75632,"Major Cities of Australia","2016",150.989379,-33.897941
"Secondary","NSW",716,"Government",300,927,49,714.8,79,416,"7-Dec","Major Cities","Merrylands",75633,"Major Cities of Australia","2016",150.96957,-33.840847
"Secondary","NSW",570,"Government",163,929,49,570.0,83,407,"U, 7-12","Major Cities","Revesby",75634,"Major Cities of Australia","2016",151.020907,-33.939698
"Secondary","NSW",599,"Government",222,917,58,598.6,88,377,"U, 7-12","Major Cities","Enfield",75635,"Major Cities of Australia","2016",151.071235,-33.885382
"Secondary","NSW",801,"Government",801,915,65,800.8,99,0,"U, 7-12","Major Cities","Auburn",75636,"Major Cities of Australia","2016",151.033681,-33.84288
"Secondary","NSW",551,"Government",551,929,49,551.0,97,0,"7-Dec","Major Cities","Bankstown",75637,"Major Cities of Australia","2016",151.0319929,-33.92081307
"Secondary","NSW",1176,"Government",1097,989,81,1175.7,96,79,"U, 7-12","Major Cities","Beverly Hills",75638,"Major Cities of Australia","2016",151.078627,-33.948461
"Secondary","NSW",1389,"Government",673,959,82,1387.7,89,716,"7-Dec","Major Cities","Bonnyrigg",75639,"Major Cities of Australia","2016",150.893167,-33.894982
"Secondary","NSW",663,"Government",319,938,55,662.2,48,344,"U, 7-12","Major Cities","Ingleburn",75640,"Major Cities of Australia","2016",150.87152,-34.005121
"Secondary","NSW",1045,"Government",516,1017,64,1045.0,94,529,"7-Dec","Major Cities","Sefton",75641,"Major Cities of Australia","2016",151.008799,-33.879538
"Secondary","NSW",1215,"Government",606,919,85,1212.4,90,609,"U, 7-12","Major Cities","Chester Hill",75642,"Major Cities of Australia","2016",150.996738,-33.874801
"Secondary","NSW",1258,"Government",619,970,85,1257.3,82,639,"U, 7-12","Major Cities","Cecil Hills",75643,"Major Cities of Australia","2016",150.852043,-33.895704
"Secondary","NSW",680,"Government",339,979,56,679.6,29,341,"U, 7-12","Major Cities","Mount Annan",75644,"Major Cities of Australia","2016",150.760739,-34.057371
"Secondary","NSW",1177,"Government",583,976,71,1177.0,59,594,"7-Dec","Major Cities","Horningsea Park",75645,"Major Cities of Australia","2016",150.8429615,-33.94592804
"Secondary","NSW",1027,"Government",445,1006,69,1027.0,33,582,"U, 7-12","Major Cities","Panania",75646,"Major Cities of Australia","2016",151.011457,-33.964344
"Secondary","NSW",1667,"Government",683,978,100,1663.1,66,984,"7-Dec","Major Cities","Fairfield West",75647,"Major Cities of Australia","2016",150.9200597,-33.86835324
"Secondary","NSW",1417,"Government",705,930,94,1415.0,96,712,"7-Dec","Major Cities","Canley Vale",75648,"Major Cities of Australia","2016",150.951658,-33.884644
"Secondary","NSW",527,"Government",243,861,55,527.0,72,284,"U, 7-12","Major Cities","Miller",75649,"Major Cities of Australia","2016",150.881139,-33.923589
"Secondary","NSW",508,"Government",214,875,43,507.8,61,294,"7-Dec","Major Cities","Ashcroft",75650,"Major Cities of Australia","2016",150.897272,-33.920414
"Secondary","NSW",753,"Government",272,917,53,753.0,91,481,"U, 7-12","Major Cities","Condell Park",75651,"Major Cities of Australia","2016",151.001755,-33.923579
"Secondary","NSW",684,"Government",282,903,68,683.8,76,402,"U, 7-12","Major Cities","Lurnea",75652,"Major Cities of Australia","2016",150.896043,-33.941743
"Secondary","NSW",555,"Government",255,906,61,554.2,91,300,"U, 7-12","Major Cities","Greystanes",75653,"Major Cities of Australia","2016",150.951,-33.8331
"Secondary","NSW",510,"Government",227,890,51,510.0,92,283,"U, 7-12","Major Cities","Guildford",75654,"Major Cities of Australia","2016",150.997598,-33.860626
"Secondary","NSW",1378,"Government",633,923,110,1378.0,89,745,"U, 7-12","Major Cities","Fairfield West",75655,"Major Cities of Australia","2016",150.929459,-33.873614
"Secondary","NSW",710,"Government",320,895,66,710.0,76,390,"U, 7-12","Major Cities","Green Valley",75656,"Major Cities of Australia","2016",150.873427,-33.91011
"Secondary","NSW",769,"Government",327,943,53,765.4,70,442,"U, 7-12","Major Cities","Casula",75657,"Major Cities of Australia","2016",150.8937,-33.95123
"Secondary","NSW",632,"Government",273,935,49,632.0,80,359,"7-Dec","Major Cities","Hinchinbrook",75658,"Major Cities of Australia","2016",150.86162,-33.92
"Secondary","NSW",410,"Government",165,878,42,408.8,42,245,"U, 7-12","Major Cities","Campbelltown",75659,"Major Cities of Australia","2016",150.827109,-34.086883
"Secondary","NSW",309,"Government",142,873,37,308.8,48,167,"U, 7-12","Major Cities","Macquarie Fields",75660,"Major Cities of Australia","2016",150.892287,-33.988351
"Secondary","NSW",1025,"Government",435,1009,68,1024.8,66,590,"7-Dec","Major Cities","Moorebank",75661,"Major Cities of Australia","2016",150.958685,-33.925772
"Secondary","NSW",955,"Government",527,1011,68,955.0,12,428,"U, 7-12","Major Cities","Elderslie",75662,"Major Cities of Australia","2016",150.715295,-34.052603
"Secondary","NSW",888,"Government",414,924,73,886.5,91,474,"U, 7-12","Major Cities","St Johns Park",75663,"Major Cities of Australia","2016",150.892002,-33.873073
"Secondary","NSW",778,"Government",397,950,58,778.0,36,381,"U, 7-12","Major Cities","Leumeah",75664,"Major Cities of Australia","2016",150.84737,-34.054339
"Secondary","NSW",1078,"Government",388,1062,69,1078.0,66,690,"7-Dec","Major Cities","Concord",75665,"Major Cities of Australia","2016",151.1090118,-33.86437872
"Secondary","NSW",1000,"Government",462,886,93,1000.0,92,538,"U, 7-12","Major Cities","Fairfield",75666,"Major Cities of Australia","2016",150.958647,-33.865214
"Secondary","NSW",547,"Government",264,920,34,547.0,59,283,"U, 7-12","Major Cities","Minto",75667,"Major Cities of Australia","2016",150.85088,-34.026782
"Secondary","NSW",1100,"Government",533,1043,72,1098.9,78,567,"U, 7-12","Major Cities","Macquarie Fields",75668,"Major Cities of Australia","2016",150.884901,-33.996784
"Secondary","NSW",1186,"Government",571,966,80,1183.8,82,615,"U, 7-12","Major Cities","Wetherill Park",75669,"Major Cities of Australia","2016",150.901709,-33.85948
"Secondary","NSW",684,"Government",316,985,48,684.0,28,368,"7-Dec","Major Cities","Holsworthy",75670,"Major Cities of Australia","2016",150.95232,-33.955528
"Secondary","NSW",521,"Government",232,906,53,519.8,45,289,"U, 7-12","Major Cities","Eagle Vale",75671,"Major Cities of Australia","2016",150.803543,-34.039942
"Secondary","NSW",741,"Government",356,926,64,741.0,33,385,"U, 7-12","Major Cities","Rosemeadow",75672,"Major Cities of Australia","2016",150.8006123,-34.10058137
"Secondary","NSW",794,"Government",397,952,59,794.0,38,397,"U, 7-12","Major Cities","Raby",75673,"Major Cities of Australia","2016",150.817995,-34.01533
"Secondary","NSW",1451,"Government",717,974,94,1450.3,82,734,"U, 7-12","Major Cities","Bossley Park",75674,"Major Cities of Australia","2016",150.88375,-33.866199
"Secondary","NSW",1058,"Government",517,992,70,1057.4,24,541,"7-Dec","Major Cities","Narellan",75675,"Major Cities of Australia","2016",150.740091,-34.057072
"Secondary","NSW",543,"Government",272,933,50,542.6,40,271,"U, 7-12","Major Cities","Ambarvale",75676,"Major Cities of Australia","2016",150.8028681,-34.08177867
"Secondary","NSW",295,"Government",0,947,29,295.0,98,295,"7-Dec","Major Cities","Belmore",75677,"Major Cities of Australia","2016",151.087836,-33.916633
"Secondary","NSW",510,"Government",0,908,49,509.6,98,510,"U, 7-12","Major Cities","Granville",75678,"Major Cities of Australia","2016",151.008817,-33.834618
"Secondary","NSW",784,"Government",784,943,62,784.0,93,0,"7-Dec","Major Cities","Birrong",75679,"Major Cities of Australia","2016",151.025708,-33.88948
"Secondary","NSW",489,"Government",489,926,51,487.2,97,0,"U, 7-12","Major Cities","Punchbowl",75680,"Major Cities of Australia","2016",151.066545,-33.924357
"Primary","NSW",67,"Government",32,1027,3,67.0,6,35,"K-6","Inner Regional","Bilpin",75681,"Inner Regional Australia","2016",150.516765,-33.497331
"Primary","NSW",332,"Government",155,1070,16,332.0,11,177,"K-6","Inner Regional","Blackheath",75682,"Inner Regional Australia","2016",150.285831,-33.639284
"Primary","NSW",474,"Government",226,1053,20,474.0,11,248,"K-6","Inner Regional","Kiama",76825,"Inner Regional Australia","2016",150.850567,-34.669659
"Primary","NSW",141,"Government",67,1035,9,141.0,10,74,"K-6","Major Cities","Blaxland",75683,"Major Cities of Australia","2016",150.603489,-33.737103
"Primary","NSW",53,"Government",29,927,2,53.0,0,24,"K-6","Outer Regional","Colo Heights",75684,"Outer Regional Australia","2016",150.739776,-33.372972
"Primary","NSW",310,"Government",154,907,14,310.0,3,156,"K-6","Inner Regional","Tumut",75685,"Inner Regional Australia","2016",148.230502,-35.315059
"Primary","NSW",236,"Government",127,1109,13,236.0,58,109,"K-6","Major Cities","North Parramatta",75686,"Major Cities of Australia","2016",151.018316,-33.79258
"Primary","NSW",58,"Government",25,983,2,58.0,4,33,"K-6","Inner Regional","Cattai",75687,"Inner Regional Australia","2016",150.906904,-33.558762
"Primary","NSW",728,"Government",328,1005,32,728.0,67,400,"K-6","Major Cities","Mount Druitt",75688,"Major Cities of Australia","2016",150.81316,-33.777199
"Primary","NSW",136,"Government",63,1022,7,136.0,7,73,"K-6","Inner Regional","Kurrajong",75689,"Inner Regional Australia","2016",150.69763,-33.506475
"Primary","NSW",224,"Government",103,900,9,224.0,53,121,"U, P-6","Major Cities","Doonside",75690,"Major Cities of Australia","2016",150.8714034,-33.76495704
"Primary","NSW",298,"Government",140,983,16,298.0,54,158,"P-6","Major Cities","Eastern Creek",75691,"Major Cities of Australia","2016",150.852624,-33.787013
